,name,draft_year,prospect_gp,prospect_pim,prospect_pm,draft_round,pick_no,dob,birth_country,weight,shoots,prospect_category,amateur_league,amateur_team,200+games,birth_month,height_cm,translation_factor,eq_g,eq_a,eq_pts,oGVT,dGVT,overall_GVT,position_2
1424,Christopher Paquette,2016,57,18,-6,5,148,1998-03-27,CAN,206,R,North American Skater,OHL,Niagara,0,3,187.96,0.31,1.85,4.09,5.94,-5.01,0.06,-4.95,F
1425,Graham McPhee,2016,78,67,1,5,149,1998-07-24,USA,173,L,North American Skater,USHL,USA U-18,0,7,182.88,0.41,5.49,2.93,8.42,-4.6,0.16,-4.4399999999999995,F
1426,Manuel Wiederer,2016,54,41,23,5,150,1996-11-21,DEU,170,R,North American Skater,QMJHL,Moncton,0,11,182.88,0.25,7.28,8.78,16.05,-3.32,0.0,-3.32,F
1427,Niclas Almari,2016,44,14,11,5,151,1998-05-11,FIN,178,L,European Skater,Finland Jr.,Jokerit Jr.,0,5,185.42,0.41,2.56,5.12,7.68,-1.37,-0.57,-1.94,D
1428,Jack Walker,2016,72,85,30,6,152,1996-07-30,USA,180,L,North American Skater,WHL,Victoria,0,7,180.34,0.28,7.45,9.93,17.38,-3.1,0.03,-3.0700000000000003,F
1429,Aapeli Rasanen,2016,50,26,17,6,153,1998-06-01,FIN,196,R,North American Skater,Finland Jr.,Tappara Jr.,0,6,182.88,0.41,10.76,10.76,21.5,-2.42,0.16,-2.26,F
1430,Jakob Stukel,2016,69,12,2,6,154,1997-03-06,CAN,196,L,North American Skater,WHL,Calgary,0,3,182.88,0.28,8.13,5.42,13.55,-3.74,0.03,-3.7100000000000004,F
1431,Eetu Tuulola,2016,39,22,-9,6,156,1998-03-17,FIN,216,R,North American Skater,Finland Jr.,HPK Jr.,0,3,190.5,0.41,6.46,4.31,10.78,-4.2,0.16,-4.04,F
1432,Patrick Kudla,2016,50,86,0,6,158,1996-04-02,CAN,207,L,North American Skater,OJHL,Oakville,0,4,190.5,0.41,5.67,23.12,28.79,1.65,-0.57,1.08,D
1433,Brandon Hagel,2016,79,50,23,6,159,1998-08-27,CAN,169,L,North American Skater,WHL,Red Deer,1,8,185.42,0.28,3.47,9.18,12.65,-3.89,0.03,-3.8600000000000003,F
1434,Michael Pezzetta,2016,64,98,-44,6,160,1998-03-13,CAN,210,L,North American Skater,OHL,Sudbury,0,3,185.42,0.31,3.29,5.92,9.21,-4.46,0.06,-4.4,F
1435,Nate Clurman,2016,53,49,43,6,161,1998-05-08,USA,207,R,North American Skater,HIGH-IN,Culver Academy,0,5,187.96,0.41,4.78,19.13,23.91,0.95,-0.57,0.38,D
1436,Jesper Bratt,2016,50,8,2,6,162,1998-07-30,SWE,174,L,European Skater,SWEDEN-2,AIK,1,7,177.8,0.62,7.77,8.64,16.41,-3.27,0.37,-2.9,F
1437,Markus Nurmi,2016,55,36,3,6,163,1998-06-29,FIN,190,R,European Skater,Finland Jr.,TPS Jr.,0,6,193.04,0.41,10.33,9.81,20.15,-2.64,0.16,-2.48,F
1438,Noah Carroll,2016,67,46,-48,6,164,1997-12-02,CAN,183,L,North American Skater,OHL,Guelph,0,12,185.42,0.31,0.93,3.41,4.35,-1.84,-0.92,-2.7600000000000002,D
1439,Oskar Steen,2016,50,41,20,6,165,1998-03-09,SWE,188,R,European Skater,SWEDEN-JR.,Farjestad Jr.,0,3,175.26,0.41,4.46,16.72,21.18,-2.47,0.16,-2.31,F
1440,Matthew Phillips,2016,72,16,11,6,166,1998-04-06,CAN,141,R,North American Skater,WHL,Victoria,0,4,170.18,0.28,9.83,10.37,20.19,-2.63,0.03,-2.6,F
1441,Tanner Laczynski,2016,57,44,11,6,169,1997-06-01,USA,190,R,North American Skater,USHL,Lincoln,0,6,182.88,0.41,10.29,18.92,29.21,-1.13,0.16,-0.9699999999999999,F
1442,Collin Adams,2016,64,37,2,6,170,1998-04-24,USA,172,L,North American Skater,USHL,Muskegon,0,4,175.26,0.41,14.52,15.84,30.35,-0.94,0.16,-0.7799999999999999,F
1443,Gabriel Fontaine,2016,68,51,28,6,171,1997-04-30,CAN,192,L,North American Skater,QMJHL,Rouyn-Noranda,0,4,185.42,0.25,4.37,5.41,9.79,-4.37,0.0,-4.37,F
1444,Anthony Salinitri,2016,62,29,-5,6,172,1998-03-05,CAN,180,L,North American Skater,OHL,Sarnia,0,3,180.34,0.31,5.78,4.42,10.2,-4.3,0.06,-4.24,F
1445,Blake Hillman,2016,39,14,9,6,173,1996-01-26,USA,180,L,North American Skater,NCHC,U. of Denver,0,1,185.42,0.43,1.76,4.69,6.45,-1.54,-0.5,-2.04,D
1446,Maxim Mamin,2016,53,59,4,6,175,1995-01-13,RUS,191,L,European Skater,RUSSIA,CSKA,0,1,187.96,0.41,1.64,1.64,3.29,-5.45,0.16,-5.29,F
1447,Jakob Stenqvist,2016,53,28,31,6,176,1998-03-17,SWE,179,R,European Skater,SWEDEN-JR.,Modo Jr.,0,3,187.96,0.41,6.87,12.16,19.03,0.25,-0.57,-0.31999999999999995,D
1448,Chase Priskie,2016,43,2,16,6,177,1996-03-19,USA,185,R,North American Skater,ECAC,Quinnipiac,0,3,182.88,0.41,2.03,11.16,13.19,-0.58,-0.57,-1.15,D
1449,Oleg Sosunov,2016,42,66,9,6,178,1998-04-13,RUS,235,L,European Skater,RUSSIA JR. 2,Loko-Yunior Yaroslav,0,4,203.2,0.41,2.66,5.34,8.0,-1.32,-0.57,-1.8900000000000001,D
1450,Nicolas Mattinen,2016,39,24,4,6,179,1998-03-05,CAN,217,R,North American Skater,OHL,London,0,3,195.58,0.31,2.17,3.24,5.4,-1.69,-0.92,-2.61,D
1451,Mark Shoemaker,2016,67,16,14,6,180,1997-09-28,CAN,220,R,North American Skater,OHL,North Bay,0,9,187.96,0.31,1.23,2.76,4.0,-1.89,-0.92,-2.81,D
1452,Joe Masonius,2016,34,40,-18,6,181,1997-02-17,USA,190,L,North American Skater,H-EAST,U. of Connecticut,0,2,182.88,0.38,3.73,9.33,13.06,-0.6,-0.67,-1.27,D
1453,Nikolai Chebykin,2016,39,59,14,7,182,1997-08-01,RUS,209,L,European Skater,RUSSIA,Mvd Balashikha 2,0,8,190.5,0.41,7.96,13.47,21.43,-2.43,0.16,-2.27,F
1454,Vincent Desharnais,2016,19,8,1,7,183,1996-05-29,CAN,207,R,North American Skater,H-EAST,Providence,0,5,198.12,0.38,1.06,1.06,2.13,-2.16,-0.67,-2.83,D
1455,Rodrigo Abols,2016,62,42,9,7,184,1996-01-05,LVA,191,L,North American Skater,WHL,Portland,0,1,193.04,0.28,4.8,6.97,11.77,-4.04,0.03,-4.01,F
1456,Calvin Thurkauf,2016,61,54,19,7,185,1997-06-27,CHE,211,L,European Skater,WHL,Kelowna,0,6,187.96,0.28,4.76,7.14,11.92,-4.01,0.03,-3.98,F
1457,Stepan Falkovsky,2016,58,35,17,7,186,1996-12-18,BLR,224,L,North American Skater,OHL,Ottawa,0,12,200.66,0.31,2.63,6.72,9.35,-1.13,-0.92,-2.05,D
1458,Arvid Henrikson,2016,43,75,19,7,187,1998-02-23,SWE,210,R,European Skater,SWEDEN-JR. U18,AIK U18,0,2,195.58,0.41,3.89,15.56,19.44,0.31,-0.57,-0.25999999999999995,D
1459,Dean Stewart,2016,42,28,0,7,188,1998-06-12,CAN,170,R,North American Skater,MJHL,Portage,0,6,187.96,0.41,5.39,9.44,14.82,-0.35,-0.57,-0.9199999999999999,D
1460,Austin Osmanski,2016,70,59,19,7,189,1998-04-30,USA,206,L,North American Skater,OHL,Mississauga,0,4,193.04,0.31,0.61,3.04,3.65,-1.94,-0.92,-2.86,D
1461,Vasili Glotov,2016,42,34,10,7,190,1997-09-04,RUS,187,L,European Skater,RUSSIA-JR.,Lvy St. Petersburg 2,0,9,180.34,0.41,13.2,18.37,31.57,-0.74,0.16,-0.58,F
1462,Travis Barron,2016,63,28,7,7,191,1998-08-17,CAN,193,L,North American Skater,OHL,Ottawa,0,8,185.42,0.31,4.48,8.61,13.09,-3.82,0.06,-3.76,F
1463,Jeremy Davies,2016,60,48,-8,7,192,1996-12-04,CAN,180,L,North American Skater,USHL,Bloomington,0,12,177.8,0.41,4.81,13.33,18.14,0.13,-0.57,-0.43999999999999995,D
1464,Nick Pastujov,2016,81,90,4,7,193,1998-01-21,USA,202,L,North American Skater,USHL,USA U-18,0,1,182.88,0.41,5.48,4.45,9.93,-4.34,0.16,-4.18,F
1465,Brett McKenzie,2016,66,43,1,7,194,1997-03-12,CAN,194,L,North American Skater,OHL,North Bay,0,3,185.42,0.31,6.8,7.06,13.86,-3.69,0.06,-3.63,F
1466,Ben Finkelstein,2016,46,2,0,7,195,1997-10-01,USA,180,R,North American Skater,US EAST,Kimball Union Academy,0,10,175.26,0.41,18.95,36.71,55.66,5.49,-0.57,4.92,D
1467,Dmitri Sokolov,2016,68,13,-40,7,196,1998-04-14,RUS,209,L,North American Skater,OHL,Sudbury,0,4,182.88,0.31,9.34,6.85,16.19,-3.3,0.06,-3.2399999999999998,F
1468,Mattias Elfstrom,2016,50,18,8,7,197,1997-01-08,SWE,194,L,European Skater,SWEDEN,Malmo Jr.,0,1,193.04,0.62,8.14,14.24,22.37,-2.27,0.37,-1.9,F
1469,Adam Smith,2016,54,46,4,7,198,1996-11-06,CAN,195,L,North American Skater,WCHA,Bowning Green,0,11,185.42,0.44,2.62,4.81,7.44,-1.4,-0.46,-1.8599999999999999,D
1470,David Bernhardt,2016,50,36,15,7,199,1997-12-01,SWE,203,L,European Skater,SWEDEN-JR.,Djurgarden Jr.,0,12,190.5,0.41,6.04,15.95,22.0,0.68,-0.57,0.1100000000000001,D
1471,David Quenneville,2016,67,30,-21,7,200,1998-03-13,CAN,182,R,North American Skater,WHL,Medicine Hat,0,3,172.72,0.28,3.98,11.93,15.9,-0.19,-1.02,-1.21,D
1472,Ty Ronning,2016,67,18,-7,7,201,1997-10-20,CAN,171,R,North American Skater,WHL,Vancouver,0,10,172.72,0.28,8.64,7.81,16.45,-3.26,0.03,-3.23,F
1473,Jacob Friend,2016,54,106,10,7,202,1997-07-28,CAN,182,L,North American Skater,OHL,Owen Sound,0,7,185.42,0.31,1.34,5.68,7.02,-1.46,-0.92,-2.38,D
1474,Jake Ryczek,2016,52,14,-7,7,203,1998-03-19,USA,181,R,North American Skater,USHL,Waterloo,0,3,177.8,0.41,3.77,15.08,18.86,0.23,-0.57,-0.33999999999999997,D
1475,Braydyn Chizen,2016,45,40,-6,7,204,1998-05-09,CAN,205,R,North American Skater,WHL,Kelowna,0,5,205.74,0.28,0.43,0.43,0.85,-2.34,-1.02,-3.36,D
1476,Tyler Soy,2016,72,27,34,7,205,1997-02-10,CAN,180,L,North American Skater,WHL,Victoria,0,2,182.88,0.28,9.87,8.37,18.23,-2.96,0.03,-2.93,F
1477,Otto Somppi,2016,59,25,-15,7,206,1998-01-12,FIN,189,L,North American Skater,QMJHL,Halifax,0,1,182.88,0.25,3.71,9.42,13.12,-3.81,0.0,-3.81,F
1478,Dmitri Zaitsev,2016,53,74,-3,7,207,1998-01-18,RUS,191,L,European Skater,NAHL,WBS Knights,0,1,182.88,0.41,3.66,7.85,11.52,-0.82,-0.57,-1.39,D
1479,Ryan Lohin,2016,62,54,5,7,208,1996-06-26,USA,193,L,North American Skater,USHL,Waterloo,0,6,182.88,0.41,8.09,11.96,20.05,-2.66,0.16,-2.5,F
1480,Nikolaj Krag Christensen,2016,40,12,-1,7,209,1998-08-12,DNK,201,R,European Skater,DENMARK,Rodovre,0,8,190.5,0.41,4.99,7.14,12.14,-3.98,0.16,-3.82,F
1481,Joachim Blichfeld,2016,48,12,1,7,210,1998-07-17,DNK,198,R,European Skater,SWEDEN,Malmo Jr.,0,7,187.96,0.62,13.5,11.7,25.18,-1.8,0.37,-1.4300000000000002,F
1482,Filip Helt,2016,49,50,21,7,211,1998-04-09,CZE,201,L,European Skater,CZREP-JR.,Litvinov Jr.,0,4,187.96,0.41,11.43,16.58,28.01,-1.33,0.16,-1.1700000000000002,F
1483,Nico Hischier,2017,57,24,20,1,1,1999-01-04,CHE,179,L,North American Skater,QMJHL,Halifax,1,1,187.96,0.25,11.23,14.18,25.4,-1.77,0.0,-1.77,F
1484,Nolan Patrick,2017,33,36,9,1,2,1998-09-19,CAN,199,R,North American Skater,WHL,Brandon,1,9,187.96,0.28,11.27,14.65,25.93,-1.68,0.03,-1.65,F
1485,Miro Heiskanen,2017,43,4,2,1,3,1999-07-18,FIN,183,L,European Skater,FINLAND,HIFK,1,7,185.42,0.46,3.72,5.96,9.68,-1.08,-0.39,-1.4700000000000002,D
1486,Cale Makar,2017,64,22,0,1,4,1998-10-30,CAN,187,R,North American Skater,AJHL,Brooks,1,10,180.34,0.41,12.4,25.64,38.03,2.97,-0.57,2.4000000000000004,D
1487,Elias Pettersson,2017,43,14,15,1,5,1998-11-12,SWE,165,L,European Skater,SWEDEN-2,Timra,1,11,187.96,0.62,18.28,21.16,39.44,0.57,0.37,0.94,F
1488,Cody Glass,2017,69,36,31,1,6,1999-04-01,CAN,178,R,North American Skater,WHL,Portland,0,4,187.96,0.28,8.87,17.19,26.06,-1.66,0.03,-1.63,F
1489,Lias Andersson,2017,52,22,22,1,7,1998-10-13,SWE,205,L,European Skater,SWEDEN,HV 71,0,10,180.34,0.62,8.71,8.71,17.42,-3.1,0.37,-2.73,F
1490,Casey Mittelstadt,2017,49,10,3,1,8,1998-11-22,USA,199,L,North American Skater,HIGH-MN,Eden Prarie,1,11,182.88,0.41,19.07,33.66,52.75,2.79,0.16,2.95,F
1491,Michael Rasmussen,2017,50,50,-13,1,9,1999-04-17,CAN,220,L,North American Skater,WHL,Tri-City,1,4,198.12,0.28,12.3,8.85,21.15,-2.48,0.03,-2.45,F
1492,Owen Tippett,2017,60,36,24,1,10,1999-02-16,CAN,215,R,North American Skater,OHL,Mississauga,0,2,185.42,0.31,15.45,10.88,26.33,-1.61,0.06,-1.55,F
1493,Gabriel Vilardi,2017,53,12,15,1,11,1999-08-16,CAN,203,R,North American Skater,OHL,Windsor,0,8,190.5,0.31,11.87,15.97,27.84,-1.36,0.06,-1.3,F
1494,Martin Necas,2017,42,10,0,1,12,1999-01-15,CZE,178,R,European Skater,Czech Republic,Brno,1,1,185.42,0.41,5.26,6.57,11.83,-4.03,0.16,-3.87,F
1495,Nick Suzuki,2017,65,10,51,1,13,1999-08-10,CAN,183,R,North American Skater,OHL,Owen Sound,1,8,180.34,0.31,14.94,16.94,31.89,-0.69,0.06,-0.6299999999999999,F
1496,Cal Foote,2017,71,41,39,1,14,1998-12-13,USA,215,R,North American Skater,WHL,Kelowna,0,12,193.04,0.28,1.59,13.49,15.08,-0.31,-1.02,-1.33,D
1497,Erik Brannstrom,2017,55,20,23,1,15,1999-09-02,SWE,179,L,European Skater,SWEDEN,HV 71,0,9,177.8,0.62,7.89,14.99,22.88,0.8,0.17,0.9700000000000001,D
1498,Juuso Valimaki,2017,60,34,2,1,16,1998-10-06,FIN,211,L,North American Skater,WHL,Tri-City,0,10,187.96,0.28,5.89,13.02,18.91,0.24,-1.02,-0.78,D
1499,Timothy Liljegren,2017,36,16,-12,1,17,1999-04-30,SWE,188,R,European Skater,SWEDEN,Rogle,0,4,182.88,0.62,7.1,8.28,15.37,-0.27,0.17,-0.1,D
1500,Urho Vaakanainen,2017,50,45,4,1,18,1999-01-01,FIN,188,L,European Skater,FINLAND,JYP,0,1,185.42,0.46,1.24,3.71,4.95,-1.76,-0.39,-2.15,D
1501,Josh Norris,2017,86,54,9,1,19,1999-05-05,USA,189,L,North American Skater,NTDP,USA U-18,0,5,182.88,0.41,12.76,15.72,28.48,-1.25,0.16,-1.09,F
1502,Robert Thomas,2017,66,26,41,1,20,1999-07-02,CAN,191,R,North American Skater,OHL,London,1,7,182.88,0.31,5.21,16.28,21.48,-2.42,0.06,-2.36,F
1503,Filip Chytil,2017,40,16,-6,1,21,1999-09-05,CZE,192,L,European Skater,Czech Republic,Zlin,1,9,187.96,0.41,2.87,2.87,5.74,-5.04,0.16,-4.88,F
1504,Kailer Yamamoto,2017,65,46,14,1,22,1998-09-29,USA,156,R,North American Skater,WHL,Spokane,1,9,172.72,0.28,12.01,16.31,28.33,-1.28,0.03,-1.25,F
1505,Pierre-Olivier Joseph,2017,62,54,14,1,23,1999-07-01,CAN,163,L,North American Skater,QMJHL,Charlottetown,0,7,187.96,0.25,1.67,9.23,10.9,-0.91,-1.12,-2.0300000000000002,D
1506,Kristian Vesalainen,2017,51,16,-6,1,24,1999-06-01,FIN,211,L,European Skater,SWEDEN,Frolunda,0,6,193.04,0.62,6.71,5.04,11.75,-4.04,0.37,-3.67,F
1507,Ryan Poehling,2017,49,16,-8,1,25,1999-01-03,USA,177,L,North American Skater,NCHC,St. Cloud State,0,1,187.96,0.43,7.69,6.5,14.18,-3.64,0.18,-3.46,F
1508,Morgan Frost,2017,67,36,15,1,27,1999-05-14,CAN,180,L,North American Skater,OHL,Sault Ste. Marie,0,5,180.34,0.31,6.36,13.34,19.7,-2.72,0.06,-2.66,F
1509,Shane Bowers,2017,60,20,14,1,28,1999-07-30,CAN,178,L,North American Skater,USHL,Waterloo,0,7,187.96,0.41,10.47,13.8,24.28,-1.95,0.16,-1.79,F
1510,Henri Jokiharju,2017,71,38,14,1,29,1999-06-17,FIN,188,R,North American Skater,WHL,Portland,1,6,182.88,0.28,2.46,10.66,13.12,-0.59,-1.02,-1.6099999999999999,D
1511,Eeli Tolvanen,2017,52,26,18,1,30,1999-04-22,FIN,189,L,European Skater,USHL,Sioux City,0,4,177.8,0.41,16.25,13.0,29.23,-1.13,0.16,-0.9699999999999999,F
1512,Klim Kostin,2017,18,33,0,1,31,1999-05-05,RUS,207,L,European Skater,RUSSIA,Dynamo Moscow,0,5,187.96,0.41,1.56,1.56,3.13,-5.48,0.16,-5.32,F
1513,Conor Timmins,2017,67,69,53,2,32,1998-09-18,CAN,184,R,North American Skater,OHL,Sault Ste. Marie,0,9,187.96,0.31,2.15,16.6,18.75,0.21,-0.92,-0.7100000000000001,D
1514,Kole Lind,2017,70,79,36,2,33,1998-10-16,CAN,185,R,North American Skater,WHL,Kelowna,0,10,185.42,0.28,8.01,15.21,23.22,-2.13,0.03,-2.1,F
1515,Nicolas Hague,2017,65,107,22,2,34,1998-12-05,CAN,207,L,North American Skater,OHL,Mississauga,1,12,198.12,0.31,5.76,8.96,14.71,-0.36,-0.92,-1.28,D
1516,Isaac Ratcliffe,2017,67,65,-2,2,35,1999-02-15,CAN,209,L,North American Skater,OHL,Guelph,0,2,198.12,0.31,8.77,8.14,16.91,-3.18,0.06,-3.12,F
1517,Jesper Boqvist,2017,50,8,13,2,36,1998-10-30,SWE,179,L,European Skater,SWEDEN,Brynas,0,10,182.88,0.62,10.75,16.54,27.29,-1.45,0.37,-1.08,F
1518,Marcus Davidsson,2017,57,10,1,2,37,1998-11-18,SWE,198,L,European Skater,SWEDEN,Djurgarden,0,11,185.42,0.62,8.03,5.83,13.85,-3.69,0.37,-3.32,F
1519,Gustav Lindstrom,2017,54,36,-2,2,38,1998-10-20,SWE,187,R,European Skater,SWEDEN-2,Almtuna,0,10,187.96,0.62,6.13,8.42,14.55,-0.39,0.17,-0.22,D
1520,Jason Robertson,2017,68,29,3,2,39,1999-07-22,USA,198,L,North American Skater,OHL,Kingston,1,7,187.96,0.31,13.33,12.39,25.72,-1.71,0.06,-1.65,F
1521,Aleksi Heponiemi,2017,72,18,15,2,40,1999-01-09,FIN,154,L,North American Skater,WHL,Swift Current,0,1,180.34,0.28,7.33,15.19,22.52,-2.25,0.03,-2.22,F
1522,Jaret Anderson-Dolan,2017,72,22,4,2,41,1999-09-12,CAN,194,L,North American Skater,WHL,Spokane,0,9,180.34,0.28,10.62,10.07,20.69,-2.55,0.03,-2.52,F
1523,Eetu Luostarinen,2017,55,63,10,2,42,1998-09-02,FIN,189,L,European Skater,FINLAND,Kalpa,1,9,190.5,0.46,6.89,5.9,12.78,-3.87,0.21,-3.66,F
1524,Dylan Samberg,2017,60,57,2,2,43,1999-01-24,USA,211,L,North American Skater,HIGH-MN,Hermantown,0,1,190.5,0.41,8.33,15.72,24.05,0.97,-0.57,0.4,D
1525,Filip Westerlund,2017,63,14,0,2,44,1999-04-17,SWE,185,R,European Skater,SWEDEN,Frolunda,0,4,182.88,0.62,0.68,6.76,7.44,-1.4,0.17,-1.23,D
1526,Alexandre Texier,2017,45,71,-1,2,45,1999-09-13,FRA,192,L,European Skater,FRANCE,Grenoble,0,9,185.42,0.41,7.65,8.29,15.94,-3.34,0.16,-3.1799999999999997,F
1527,Robin Salo,2017,54,14,0,2,46,1998-10-13,FIN,191,L,European Skater,FINLAND,Sport,0,10,185.42,0.46,0.57,8.48,9.05,-1.17,-0.39,-1.56,D
1528,Alex Formenton,2017,65,50,21,2,47,1999-09-13,CAN,182,L,North American Skater,OHL,London,0,9,187.96,0.31,5.34,6.01,11.35,-4.11,0.06,-4.050000000000001,F
1529,Alexander Volkov,2017,31,16,8,2,48,1997-08-02,RUS,191,L,European Skater,RUSSIA-JR.,SKA St. Petersburg 2,0,8,185.42,0.41,6.33,3.52,9.85,-4.36,0.16,-4.2,F
1530,Mario Ferraro,2017,60,42,7,2,49,1998-09-17,CAN,185,L,North American Skater,USHL,Des Moines,1,9,180.34,0.41,3.63,14.98,18.61,0.19,-0.57,-0.37999999999999995,D
1531,Maxime Comtois,2017,64,88,-7,2,50,1999-01-08,CAN,207,L,North American Skater,QMJHL,Victoriaville,1,1,187.96,0.25,5.79,7.63,13.41,-3.77,0.0,-3.77,F
1532,Zachary Lauzon,2017,63,90,42,2,51,1998-10-10,CAN,187,L,North American Skater,QMJHL,Rouyn-Noranda,0,10,182.88,0.25,0.79,4.74,5.53,-1.67,-1.12,-2.79,D
1533,Luke Martin,2017,35,12,2,2,52,1998-09-20,USA,221,R,North American Skater,BIG10,Michigan,0,9,187.96,0.33,0.63,3.76,4.38,-1.84,-0.84,-2.68,D
1534,Jack Studnicka,2017,64,36,-6,2,53,1999-02-18,CAN,171,R,North American Skater,OHL,Oshawa,0,2,182.88,0.31,5.92,11.2,17.12,-3.15,0.06,-3.09,F
1535,Jonah Gadjovich,2017,60,32,35,2,55,1998-10-12,CAN,199,L,North American Skater,OHL,Owen Sound,0,10,185.42,0.31,15.79,9.61,25.4,-1.77,0.06,-1.71,F
1536,Josh Brook,2017,69,61,17,2,56,1999-06-17,CAN,189,R,North American Skater,WHL,Moose Jaw,0,6,185.42,0.28,2.25,9.0,11.25,-0.86,-1.02,-1.88,D
1537,Ian Mitchell,2017,53,34,0,2,57,1999-01-18,CAN,179,R,North American Skater,AJHL,Spruce Grove,0,1,180.34,0.41,4.19,15.18,19.38,0.3,-0.57,-0.26999999999999996,D
1538,Joni Ikonen,2017,57,42,10,2,58,1999-04-14,FIN,183,R,European Skater,SWEDEN-JR.,Frolunda Jr.,0,4,182.88,0.41,11.79,10.81,22.6,-2.23,0.16,-2.07,F
1539,Eemeli Rasanen,2017,66,41,-7,2,59,1999-03-06,FIN,228,R,European Skater,OHL,Kingston,0,3,200.66,0.31,1.91,10.54,12.45,-0.69,-0.92,-1.6099999999999999,D
1540,Antoine Morand,2017,67,52,21,2,60,1999-02-18,CAN,175,L,North American Skater,QMJHL,Acadie-Bathurst,0,2,177.8,0.25,7.1,11.67,18.77,-2.87,0.0,-2.87,F
1541,Grant Mismash,2017,91,150,12,2,61,1999-02-19,USA,181,L,North American Skater,NTDP,USA U-18,0,2,182.88,0.41,10.41,15.61,26.03,-1.66,0.16,-1.5,F
1542,Jake Leschyshyn,2017,47,22,14,2,62,1999-03-10,USA,192,L,North American Skater,WHL,Regina,0,3,180.34,0.28,6.88,9.31,16.2,-3.3,0.03,-3.27,F
1543,Fabian Zetterlund,2017,54,20,10,3,63,1999-08-25,SWE,202,R,European Skater,SWEDEN-JR.,Farjestad Jr.,0,8,180.34,0.41,8.5,10.63,19.13,-2.81,0.16,-2.65,F
1544,Max Gildon,2017,89,84,21,3,66,1999-05-17,USA,192,L,North American Skater,NTDP,USA U-18,0,5,190.5,0.41,5.09,9.54,14.62,-0.38,-0.57,-0.95,D
1545,Morgan Geekie,2017,72,40,22,3,67,1998-07-20,CAN,192,R,North American Skater,WHL,Tri-City,0,7,187.96,0.28,7.93,12.46,20.38,-2.6,0.03,-2.5700000000000003,F
1546,Scott Walford,2017,60,36,-13,3,68,1999-01-12,CAN,193,L,North American Skater,WHL,Victoria,0,1,187.96,0.28,1.89,7.54,9.43,-1.12,-1.02,-2.14,D
1547,MacKenzie Entwistle,2017,54,25,0,3,69,1999-07-14,CAN,190,R,North American Skater,OHL,Hamilton,0,7,190.5,0.31,4.77,5.17,9.95,-4.34,0.06,-4.28,F
1548,Andrei Altybarmakyan,2017,58,87,28,3,70,1998-08-04,RUS,183,L,European Skater,RUSSIA-JR.,Lvy St. Petersburg 2,0,8,180.34,0.41,10.29,11.94,22.23,-2.29,0.16,-2.13,F
1549,Kasper Kotkansalo,2017,47,43,12,3,71,1998-11-16,FIN,198,L,North American Skater,USHL,Sioux Falls,0,11,187.96,0.41,0.58,6.44,7.02,-1.46,-0.57,-2.03,D
1550,Stelio Mattheos,2017,69,59,-16,3,73,1999-06-14,CAN,189,R,North American Skater,WHL,Brandon,0,6,182.88,0.28,7.29,9.8,17.09,-3.15,0.03,-3.12,F
1551,Johnny Kovacevic,2017,36,30,7,3,74,1997-07-12,CAN,208,R,North American Skater,H-EAST,Merrimack,0,7,193.04,0.38,1.69,8.98,10.67,-0.94,-0.67,-1.6099999999999999,D
1552,Nate Schnarr,2017,54,27,-19,3,75,1999-02-25,CAN,200,R,North American Skater,OHL,Guelph,0,2,193.04,0.31,7.02,7.02,14.05,-3.66,0.06,-3.6,F
1553,Alexei Lipanov,2017,32,14,5,3,76,1999-08-17,RUS,169,L,European Skater,RUSSIA-2,Balashikha,0,8,182.88,0.41,2.69,7.18,9.86,-4.36,0.16,-4.2,F
1554,Ben Mirageas,2017,64,22,-8,3,77,1999-05-08,USA,171,L,North American Skater,USHL,Chicago,0,5,185.42,0.41,1.77,7.48,9.24,-1.14,-0.57,-1.71,D
1555,Lane Zablocki,2017,64,97,13,3,79,1998-12-27,CAN,181,R,North American Skater,WHL,Red Deer,0,12,182.88,0.28,8.24,7.66,15.91,-3.35,0.03,-3.3200000000000003,F
1556,Reilly Walsh,2017,59,12,7,3,81,1999-04-21,USA,184,R,North American Skater,HIGH-NH,Proctor Academy,0,4,180.34,0.41,15.27,24.34,39.6,3.19,-0.57,2.62,D
1557,Cameron Crotty,2017,41,32,0,3,82,1999-05-05,CAN,186,R,North American Skater,CCHL,Brockville,0,5,187.96,0.41,2.75,6.18,8.93,-1.19,-0.57,-1.7599999999999998,D
1558,Zach Gallant,2017,60,74,4,3,83,1999-03-06,CAN,193,L,North American Skater,OHL,Peterborough,0,3,187.96,0.31,7.38,9.13,16.51,-3.25,0.06,-3.19,F
1559,Dmitri Samorukov,2017,67,41,-24,3,84,1999-06-16,RUS,187,L,North American Skater,OHL,Guelph,0,6,187.96,0.31,1.29,5.13,6.42,-1.55,-0.92,-2.47,D
1560,Ivan Lodnia,2017,76,24,20,3,85,1999-08-31,USA,185,R,North American Skater,OHL,Erie,0,8,177.8,0.31,8.28,11.14,19.42,-2.76,0.06,-2.6999999999999997,F
1561,Cale Fleury,2017,70,67,-61,3,87,1998-11-19,CAN,209,R,North American Skater,WHL,Kootenay,0,11,185.42,0.28,2.95,7.24,10.19,-1.01,-1.02,-2.0300000000000002,D
1562,Oskari Laaksonen,2017,37,26,9,3,89,1999-07-02,FIN,165,R,European Skater,Finland Jr.,Ilves Jr.,0,7,185.42,0.41,4.6,9.98,14.59,-0.38,-0.57,-0.95,D
